"datetime";"ipsrc";"ipdst";"dstport";"proto";"action";"policyid"
"2023-03-06 15:22:25";"192.168.56.1";"10.188.10.10";"50210";"TCP";"Deny";"34"
"2023-03-06 15:22:25";"192.168.56.1";"10.188.10.10";"47622";"TCP";"Deny";"34"
"2023-03-06 15:22:25";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 15:22:25";"10.188.0.1";"10.188.10.10";"45111";"UDP";"Permit";"6"
"2023-03-06 15:22:25";"192.168.56.1";"10.188.10.10";"50466";"TCP";"Deny";"34"
"2023-03-06 15:22:25";"192.168.56.1";"10.188.10.10";"50466";"TCP";"Deny";"34"
"2023-03-06 15:22:26";"192.168.56.1";"10.188.10.10";"50466";"TCP";"Deny";"34"
"2023-03-06 15:22:27";"192.168.56.1";"10.188.10.10";"50210";"TCP";"Deny";"34"
"2023-03-06 15:22:28";"192.168.56.1";"10.188.10.10";"50468";"TCP";"Deny";"34"
"2023-03-06 15:22:29";"192.168.56.1";"10.188.10.10";"50468";"TCP";"Deny";"34"
"2023-03-06 15:22:30";"192.168.56.1";"10.188.10.10";"50466";"TCP";"Deny";"34"
"2023-03-06 15:22:31";"192.168.56.1";"10.188.10.10";"50468";"TCP";"Deny";"34"
"2023-03-06 15:22:32";"192.168.56.1";"10.188.10.10";"50468";"TCP";"Deny";"34"
"2023-03-06 15:22:33";"192.168.56.1";"10.188.10.10";"50468";"TCP";"Deny";"34"
"2023-03-06 15:22:34";"192.168.56.1";"10.188.10.10";"50468";"TCP";"Deny";"34"
"2023-03-06 15:22:35";"192.168.56.1";"10.188.10.10";"50468";"TCP";"Deny";"34"
"2023-03-06 15:22:36";"192.168.56.1";"10.188.10.10";"50468";"TCP";"Deny";"34"
"2023-03-06 15:22:37";"192.168.56.1";"10.188.10.10";"50468";"TCP";"Deny";"34"
"2023-03-06 15:23:22";"192.168.56.1";"10.188.10.10";"62544";"TCP";"Deny";"34"
"2023-03-06 15:23:22";"10.188.0.1";"10.188.10.10";"44212";"UDP";"Permit";"6"
"2023-03-06 15:23:22";"192.168.56.1";"10.188.10.10";"62800";"TCP";"Deny";"34"
"2023-03-06 15:23:22";"192.168.56.1";"10.188.10.10";"62800";"TCP";"Deny";"34"
"2023-03-06 15:23:23";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 15:23:23";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 15:23:24";"192.168.56.1";"10.188.10.10";"62800";"TCP";"Deny";"34"
"2023-03-06 15:23:24";"192.168.56.1";"10.188.10.10";"62544";"TCP";"Deny";"34"
"2023-03-06 15:23:26";"192.168.56.1";"10.188.10.10";"62802";"TCP";"Deny";"34"
"2023-03-06 15:23:26";"192.168.56.1";"10.188.10.10";"62802";"TCP";"Deny";"34"
"2023-03-06 15:23:28";"192.168.56.1";"10.188.10.10";"62802";"TCP";"Deny";"34"
"2023-03-06 15:23:28";"192.168.56.1";"10.188.10.10";"62800";"TCP";"Deny";"34"
"2023-03-06 15:23:30";"192.168.56.1";"10.188.10.10";"62802";"TCP";"Deny";"34"
"2023-03-06 15:23:30";"192.168.56.1";"10.188.10.10";"62802";"TCP";"Deny";"34"
"2023-03-06 15:23:31";"192.168.56.1";"10.188.10.10";"62802";"TCP";"Deny";"34"
"2023-03-06 15:23:32";"192.168.56.1";"10.188.10.10";"62802";"TCP";"Deny";"34"
"2023-03-06 15:23:33";"192.168.56.1";"10.188.10.10";"62802";"TCP";"Deny";"34"
"2023-03-06 15:23:34";"192.168.56.1";"10.188.10.10";"62800";"TCP";"Deny";"34"
"2023-03-06 15:23:35";"192.168.56.1";"10.188.10.10";"62802";"TCP";"Deny";"34"
"2023-03-06 15:23:36";"192.168.56.1";"10.188.10.10";"62800";"TCP";"Deny";"34"
"2023-03-06 15:23:37";"192.168.56.1";"10.188.10.10";"62802";"TCP";"Deny";"34"
"2023-03-06 15:23:38";"192.168.56.1";"10.188.10.10";"62800";"TCP";"Deny";"34"
"2023-03-06 20:46:33";;;;;;
"2023-03-06 21:06:33";;;;;;
"2023-03-06 16:12:02";"192.168.56.1";"10.188.10.10";"63298";"TCP";"Deny";"34"
"2023-03-06 16:17:51";"10.188.0.1";"10.188.10.10";"43813";"UDP";"Permit";"6"
"2023-03-06 16:17:51";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 16:17:52";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 16:17:52";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 16:17:52";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 16:17:52";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 16:17:53";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 16:20:35";"10.188.0.1";"10.188.10.10";"49119";"UDP";"Permit";"6"
"2023-03-06 16:20:35";"10.0.0.1";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:20:35";"192.168.4.1";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:20:35";"172.156.2.26";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:20:35";"192.168.1.0";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:20:35";"10.10.1.101";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:20:35";"10.0.0.1";"10.188.10.10";"80";"TCP";"Permit";"4"
"2023-03-06 16:20:35";"192.168.4.1";"10.188.10.10";"80";"TCP";"Permit";"4"
"2023-03-06 16:20:35";"172.156.2.26";"10.188.10.10";"80";"TCP";"Permit";"4"
"2023-03-06 16:20:35";"192.168.1.0";"10.188.10.10";"80";"TCP";"Permit";"4"
"2023-03-06 16:20:35";"10.10.1.101";"10.188.10.10";"80";"TCP";"Permit";"4"
"2023-03-06 16:21:53";"10.188.0.1";"10.188.10.10";"58447";"UDP";"Permit";"6"
"2023-03-06 16:21:54";"48.79.228.87";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:21:54";"30.7.123.230";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:21:54";"162.155.33.214";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:21:54";"31.135.166.100";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:21:54";"3.183.191.167";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:21:54";"48.79.228.87";"10.188.10.10";"80";"TCP";"Permit";"4"
"2023-03-06 16:21:54";"30.7.123.230";"10.188.10.10";"80";"TCP";"Permit";"4"
"2023-03-06 16:21:54";"162.155.33.214";"10.188.10.10";"80";"TCP";"Permit";"4"
"2023-03-06 16:21:54";"31.135.166.100";"10.188.10.10";"80";"TCP";"Permit";"4"
"2023-03-06 16:21:54";"3.183.191.167";"10.188.10.10";"80";"TCP";"Permit";"4"
"2023-03-06 16:24:53";"10.188.0.1";"10.188.10.10";"52021";"UDP";"Permit";"6"
"2023-03-06 16:24:53";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 16:24:53";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 16:24:53";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 16:24:54";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 16:24:54";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 16:24:54";"192.168.56.1";"10.188.10.10";"46104";"TCP";"Deny";"34"
"2023-03-06 16:27:43";"10.188.0.1";"10.188.10.10";"56061";"UDP";"Permit";"6"
"2023-03-06 16:27:43";"10.0.0.1";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:27:43";"192.168.4.1";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:27:43";"172.156.2.26";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:27:43";"192.168.1.0";"10.188.10.10";"21";"TCP";"Permit";"3"
"2023-03-06 16:27:43";"10.10.1.101";"10.188.10.10";"21";"TCP";"Permit";"3"
